path,label
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson002_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson003_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson006_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson014_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson015_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson017_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson019_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson020_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson021_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson024_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson025_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson027_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__5.npy,Arson
