path,label
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault001_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault003_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault004_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault005_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault007_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault008_x264__0.npy,Assault
