path,label
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__5.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__6.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__7.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__8.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse040_x264__9.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__5.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__6.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__7.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__8.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse013_x264__9.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__5.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__6.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__7.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__8.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse020_x264__9.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse005_x264__5.npy,Abuse
