path,label
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest023_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__7.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__8.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary094_x264__9.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__0.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__1.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__2.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__3.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__4.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__5.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__6.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__7.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__8.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion030_x264__9.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__0.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__1.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__2.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__3.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__4.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__5.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__6.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__7.npy,Explosion
/data/VadCLIP-data/UCFClipFeatures/Explosion/Explosion047_x264__8.npy,Explosion
