path,label
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest006_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest008_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest022_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson001_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson005_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson012_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson023_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson028_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson032_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson051_x264__7.npy,Arson
