path,label
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson048_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault002_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault009_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault013_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault019_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault019_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault019_x264__2.npy,Assault
