path,label
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__5.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__6.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__7.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__8.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse017_x264__9.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__0.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__1.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__2.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__3.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__4.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__5.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__6.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__7.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__8.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse024_x264__9.npy,Abuse
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest005_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest014_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest035_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__0.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__1.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__2.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__3.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__4.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__5.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__6.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__7.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__8.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arrest/Arrest048_x264__9.npy,Arrest
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson008_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson013_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson026_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson036_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson037_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__0.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__1.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__2.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__3.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__4.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__5.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__6.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__7.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__8.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Arson/Arson050_x264__9.npy,Arson
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault015_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault027_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault041_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__0.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__1.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__2.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__3.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__4.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__5.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__6.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__7.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__8.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Assault/Assault050_x264__9.npy,Assault
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__7.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__8.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary004_x264__9.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__7.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__8.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary006_x264__9.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__7.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__8.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary009_x264__9.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__7.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__8.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary012_x264__9.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__0.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__1.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__2.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__3.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__4.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__5.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__6.npy,Burglary
/data/VadCLIP-data/UCFClipFeatures/Burglary/Burglary015_x264__7.npy,Burglary
