path,label
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__0.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__1.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__2.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__3.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__4.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__5.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__6.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__7.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__8.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__9.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__0.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__1.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__2.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__3.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__4.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__5.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__6.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__7.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__8.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__9.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__0.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__1.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__2.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__3.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__4.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__5.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__6.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__7.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__8.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__9.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__0.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__1.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__2.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__3.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__4.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__5.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__6.npy,B5-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__7.npy,B5-0-0
