path,label
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__0.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__1.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__2.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__3.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__4.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__5.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__6.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__7.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__8.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-30_00-47-58_label_G-0-0__9.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__0.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__1.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__2.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__3.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__4.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__5.npy,G-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#01-12-39_01-13-12_label_G-0-0__6.npy,G-0-0
