path,label
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-07-01_01-08-13_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-21-35_01-22-25_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#01-29-04_01-30-03_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-49-00_00-52-55_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#00-58-01_01-00-01_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-23-50_01-25-30_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#01-38-50_01-39-49_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-01-31_02-04-10_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-04-30_02-05-30_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-14-41_02-16-20_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-19-30_02-20-55_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-28-15_02-29-59_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-28-15_02-29-59_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-28-15_02-29-59_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-28-15_02-29-59_label_B1-0-0__3.npy,B1-0-0
