path,label
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-26-51_00-27-53_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-38-16_00-38-50_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#00-39-10_00-39-42_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.1995__#01-52-45_01-53-19_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-43-05_00-44-20_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-48-24_00-52-00_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__1.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__2.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__3.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__4.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__5.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__6.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__7.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__8.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-44-05_00-44-40_label_B2-0-0__9.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-58_00-48-58_label_B2-0-0__0.npy,B2-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Black.Hawk.Down.2001__#00-47-58_00-48-58_label_B2-0-0__1.npy,B2-0-0
