path,label
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__0.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__1.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__2.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__3.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__4.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__5.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__6.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__7.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__8.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-06-50_0-08-49_label_B1-B2-B6__9.npy,B1-B2-B6
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__0.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__1.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__2.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__3.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__4.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__5.npy,B6-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Deadpool.2016__#0-08-50_0-09-11_label_B6-0-0__6.npy,B6-0-0
