path,label
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-04-20_00-05-35_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-05-52_00-08-22_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-16-18_00-17-09_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-20-35_00-23-06_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-23-50_00-24-31_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-45-40_00-47-30_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-57-20_00-58-17_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-26-10_01-28-00_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-29-31_01-31-00_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-39-05_01-41-00_label_A__4.npy,A
