path,label
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#00-42-52_00-45-31_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-46-20_01-48-10_label_A__8.npy,A
