path,label
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/A.Beautiful.Mind.2001__#01-50-50_01-52-00_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/About.Time.2013__#00-38-52_00-40-31_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#00-23-01_00-25-06_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Be.with.You.2018__#00-50-26_00-55-16_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Be.with.You.2018__#00-50-26_00-55-16_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Be.with.You.2018__#00-50-26_00-55-16_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Be.with.You.2018__#00-50-26_00-55-16_label_A__3.npy,A
