path,label
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.Of.Men.2007__#01-10-21_01-11-35_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__0.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__1.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__2.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__3.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__4.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__5.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__6.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__7.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__8.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-06-10_00-07-01_label_B1-0-0__9.npy,B1-0-0
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-01-45_00-04-15_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__2.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__3.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__4.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__5.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__6.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__7.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__8.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-04-20_00-06-05_label_A__9.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-16-18_00-17-27_label_A__0.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-16-18_00-17-27_label_A__1.npy,A
/data/VadCLIP-data/XDTrainClipFeatures/Hear.Me.2009__#00-16-18_00-17-27_label_A__2.npy,A
