path,label
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__0.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__1.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__2.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__3.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__4.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__5.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__6.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__7.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__8.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-07-07_02-12-05_label_B2-G-0__9.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__0.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__1.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__2.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__3.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__4.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__5.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__6.npy,B2-G-0
/data/VadCLIP-data/XDTrainClipFeatures/Bad.Boys.II.2003__#02-15-48_02-18-12_label_B2-G-0__7.npy,B2-G-0
