sample_id,experiment,dataset,split_mode,checkpoint,path,raw_label,membership,source_csv,client_id
ucf_event_aug::0000000,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__0.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000001,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__1.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000002,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__2.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000003,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__3.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000004,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__4.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000005,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__5.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000006,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__6.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000007,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__7.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000008,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__8.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000009,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse001_x264__9.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000010,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__0.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000011,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__1.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000012,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__2.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000013,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__3.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000014,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__4.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000015,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__5.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
ucf_event_aug::0000016,ucf_event_aug,ucf,event,PAMP-FedVAD/models/ucf-event_model_roc_0.8797.pth,/data/VadCLIP-data/UCFClipFeatures/Abuse/Abuse002_x264__6.npy,Abuse,1,data/list/ucf_event/ucf_Abuse.csv,ucf_Abuse
