sample_id,experiment,dataset,split_mode,checkpoint,path,raw_label,membership,source_csv,client_id
xd_event_aug::0000000,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__0.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000001,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__1.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000002,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__2.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000003,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__3.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000004,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__4.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000005,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__5.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000006,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__6.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000007,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__7.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000008,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__8.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000009,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Braveheart.1995__#02-43-01_02-46-50_label_B5-0-0__9.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000010,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__0.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000011,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__1.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000012,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__2.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000013,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__3.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000014,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__4.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000015,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__5.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000016,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__6.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000017,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__7.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000018,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__8.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000019,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#00-27-11_00-28-05_label_B5-0-0__9.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000020,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__0.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000021,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__1.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000022,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__2.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000023,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__3.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000024,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__4.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000025,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__5.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000026,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__6.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000027,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__7.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000028,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__8.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000029,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/City.of.God.2002__#01-09-11_01-10-35_label_B5-0-0__9.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000030,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__0.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000031,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__1.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000032,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__2.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000033,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__3.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000034,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__4.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000035,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__5.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000036,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__6.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000037,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__7.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000038,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__8.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000039,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Death.Proof.2007__#01-48-30_01-49-26_label_B5-0-0__9.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000040,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Election.2005__#01-24-22_01-25-44_label_B5-0-0__0.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000041,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Election.2005__#01-24-22_01-25-44_label_B5-0-0__1.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000042,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Election.2005__#01-24-22_01-25-44_label_B5-0-0__2.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
xd_event_aug::0000043,xd_event_aug,xd,event,PAMP-FedVAD/models/xd-event_model_final_ap_0.8243.pth,/data/VadCLIP-data/XDTrainClipFeatures/Election.2005__#01-24-22_01-25-44_label_B5-0-0__3.npy,B5-0-0,1,data/list/xd_event/xd_Abuse.csv,xd_Abuse
